id,text,intent,secondary_intent,should_escalate,escalation_reason_code,sentiment,notes,annotator,label_source,scenario_setup
vc_001,"My listening history is filling up while I'm asleep, and the speaker listed as playing is one I've never owned. I thought my session had just glitched until it started happening every night.",,,,,,,,,{}
vc_002,"Oops. The screenshot I posted publicly included the sign-in details I use for Spotify. I've removed the picture, but people had already opened it. What should happen next?",,,,,,,,,{}
vc_003,A listener keeps renaming a shared playlist to describe the route I walk home and says they'll be waiting there. This is how they're intimidating me after I blocked them elsewhere.,,,,,,,,,{}
vc_004,"During my accessibility complaint, a Spotify representative said people with my disability shouldn't use the service. I want that discriminatory treatment investigated.",,,,,,,,,{}
vc_005,The subscription money went out after I'd ended the plan. Please credit that sum back to the card; I don't want another month added in its place.,,,,,,,,,{}
vc_006,I'm looking at my bank statement: the Spotify renewal was taken twice this morning. Where can I query those two entries?,,,,,,,,,{}
vc_007,Whoever staffs Spotify support is a pack of incompetent clowns. You lot couldn't organise a single playlist between you.,,,,,,,,,{}
vc_008,That's my last month with Spotify. I've lined up Deezer for payday because this queue behaviour has worn me down; I'm taking my listening there.,,,,,,,,,{}
vc_009,"I've emailed your support address on Monday, Wednesday and Friday about the missing library. The replies still haven't restored it, and I am no further forward.",,,,,,,,,{}
vc_010,"My earlier chat was marked complete without dealing with the broken family invitation. I reopened it, got another closing notice, and now the follow-up has gone unanswered too.",,,,,,,,,{}
vc_011,"Could you point me to the setting for the name people see on my playlists? Also, the account now lists a recovery address I don't recognise, and I didn't authorise that edit.",,,,,,,,,{}
vc_012,"First, where are the public instructions for ending a trial? Separately, yesterday's statement shows a Spotify payment even though I never signed up for that trial.",,,,,,,,,{}
vc_013,I want to know how to hide a podcast from recommendations. Its host has published my home address and urged listeners to come round; my solicitor is collecting the evidence.,,,,,,,,,{}
vc_014,"Can I choose which downloaded albums use space on this tablet? If I can't make the offline library manageable today, I'm ending my subscription and moving on.",,,,,,,,,{}
vc_015,Explain how to put a playlist in date-added order. And tell the idiots on your support desk to stop wasting everyone's time with their stupid replies.,,,,,,,,,{}
vc_016,"Where can I compare the advertised student and individual plans? My college name was rejected on my application, so I'd also like you to approve my own student status manually.",,,,,,,,,{}
vc_017,"The music stops when I move from headphones to the kitchen speaker. I can tell you the device details, but please put an actual support person in this conversation with me.",,,,,,,,,{}
vc_018,"I'm searching for a song whose title is 'Steal My Password', not reporting anything about my account. While you're here, how can I put a song I find into a new playlist?",,,,,,,,,{}
vc_019,"Reinstalling the app three times hasn't stopped the black screen at launch. On a different device it opens normally, but I also need to know how to rename a playlist there.",,,,,,,,,{}
vc_020,"Your last reply got the missing albums back, cheers! One unrelated question before I go: is there a public explanation of what the download indicator means?",,,,,,,,,{}
vc_021,"Playback cuts out the moment I leave the Spotify screen, then carries on when I return. I can't tell which setting would cause that.",,,,,,,,,{}
vc_022,"I'm trying to save an album for a flight. The download circle begins moving and then stops, with no message to explain why.",,,,,,,,,{}
vc_023,The acoustic recording I listened to last winter has disappeared from search. I only remember the cover was orange; can you tell me where it went?,,,,,,,,,{}
vc_024,"Someone in my household sent me a Spotify plan invitation. Following it leaves me on a loading wheel, and I never reach a page to accept anything.",,,,,,,,,{}
vc_025,"My playlist used to keep the newest additions at the top. Now the order changes when I reopen it, and I can't find the control I used before.",,,,,,,,,{}
vc_026,"The sound carries on at home after I've left, while the phone in my hand is silent. Both are my devices. How do I choose the one that should play?",,,,,,,,,{}
vc_027,There are two different names for me on Spotify and I want the old one changed. I'm unsure whether the name I'm seeing is the login identifier or the public profile name.,,,,,,,,,{}
vc_028,"When I open my account it looks different from yesterday. A few settings seem changed, but I don't know whether that's the update or someone else's doing.",,,,,,,,,{}
vc_029,I'm budgeting for next term and want the student plan's advertised price. Which details would you need to point me to the right public price page?,,,,,,,,,{}
vc_030,"An item in my library just says 'unavailable'. I don't remember whether I saved it from the catalogue or imported it myself, and I haven't tried opening it anywhere else.",,,,,,,,,{}
vc_031,"On my Android phone, Spotify stops about twenty seconds after the display locks. This happens on home Wi-Fi with several online albums; the same albums play through in the Windows app. Where should I start?",,,,,,,,,{}
vc_032,"Windows desktop app, Premium, downloads already marked complete: the albums play with Wi-Fi connected but turn grey as soon as I disconnect it. I can still see them in the downloaded section.",,,,,,,,,{}
vc_033,I'm in Ireland looking for Mara Lune's album 'Northbound Window'. It's absent from search in both the web player and phone app while I'm online; other releases under that artist name appear.,,,,,,,,,{}
vc_034,Friends see 'Study Desk' beside my public playlists. I want that visible profile label to say 'Evening Walks' instead. I can sign in normally and am using Spotify on an iPhone.,,,,,,,,,{}
vc_035,"For a new subscription in Canada, where can I read the current public terms for Premium Duo and Family side by side? I'm gathering information before choosing either plan.",,,,,,,,,{}
vc_036,I'm using the Free service in a Chrome browser on a laptop. I'd like to understand its advertised playback options before I decide whether Premium is useful to me.,,,,,,,,,{}
vc_037,I made the playlist myself in the desktop app and accidentally put the same recording in twice. Both copies are still visible; I want to remove just one entry without deleting the playlist.,,,,,,,,,{}
vc_038,"The web player opens in Safari on my Mac, but pressing Play leaves the progress counter at zero. The desktop Spotify app plays the same tracks over the same connection without trouble.",,,,,,,,,{}
vc_039,"I've emailed your support address on Monday, Wednesday and Friday about the missing library. The replies have now restored it, and I am all sorted, thank you.",,,,,,,,,{}
vc_040,"The listing for the single 'Paper Ferry' credits Juniper Vale, but the cover and audio belong to my band, Low Harbour. I'm the band's drummer and want to know the proper way to report the wrong attribution.",,,,,,,,,{}
vc_041,"My iPad plays a few seconds of any online song, pauses, and shows no error. Restarting it once didn't change that. Could you help me work out the next step?",,,,,,,,,"{""inject"": ""provider_timeout""}"
vc_042,Where would I look for the current public explanation of crossfade? I'm making a party playlist on my laptop and want to understand the setting before changing it.,,,,,,,,,"{""inject"": ""provider_error""}"
vc_043,"The bank shows a completed Spotify payment today, yet the account still says Free. I have the receipt and need someone to sort out the payment rather than sell me another plan.",,,,,,,,,"{""inject"": ""malformed_extraction""}"
vc_044,"A stranger is adding offensive playlist covers to my profile while I'm watching it. I haven't shared access with anyone, and changing the artwork back only lasts a minute.",,,,,,,,,"{""inject"": ""malformed_audit""}"
vc_045,I'm about to travel and would like the currently supported steps for choosing what is available offline on my Android tablet. I haven't tried changing any settings yet.,,,,,,,,,"{""inject"": ""expired_knowledge""}"
vc_046,Is there an official guide explaining the listening options on a Spotify account made for a child? I'm exploring the service and have no existing account issue.,,,,,,,,,"{""inject"": ""missing_knowledge""}"
vc_047,"Could you explain how playlist folders work in the desktop app? I want to organise the playlists I already made for running, cooking and studying.",,,,,,,,,"{""inject"": ""context_budget""}"
vc_048,"A Bluetooth speaker gets sound from other apps on this phone, but Spotify stays silent through it. Through the phone's own speaker, those same Spotify tracks are audible.",,,,,,,,,"{""inject"": ""deadline_exhausted""}"
vc_049,"Before I make my playlist public, can you show me where Spotify explains what other listeners will be able to see? This is a general privacy-settings question.",,,,,,,,,"{""inject"": ""retrieval_error""}"
vc_050,I'd like a person to review the support message I sent privately about closing an old account. It includes details I don't want to repeat in this public thread.,,,,,,,,,"{""inject"": ""provider_error""}"
vc_051,"The album title is 'Your Last Warning', by an artist called Night Assembly. I'm asking why that album's cover won't load; nobody has sent me a warning or threatened me.",,,,,,,,,{}
vc_052,"Nothing has been stolen and my account details are unchanged. A friend had a security scare, so I'd like to read Spotify's general advice on protecting my own login.",,,,,,,,,{}
vc_053,I'm looking at my bank statement: the Spotify renewal was not taken twice this morning. Where can I view the usual renewal date?,,,,,,,,,{}
vc_054,I'm happy staying with Spotify; this is for planning a trip with no internet. Where can I read how ending and later restarting a subscription works? I haven't decided to end mine.,,,,,,,,,{}
vc_055,"Bloody hell, that tiny queue button is hard to spot on this screen. I like the app otherwise; could you tell me where to find the queue on an Android phone?",,,,,,,,,{}
vc_056,"Fourth time I've restarted the phone to make album art appear. This is my first message about it, and I haven't contacted support before. The tracks themselves still play.",,,,,,,,,{}
vc_057,I'm a discrimination-law researcher building a teaching playlist. I'm not alleging mistreatment by Spotify; I just need to know how to share the playlist with my students.,,,,,,,,,{}
vc_058,"I didn't forget my password. Somebody outside my household has replaced it and signed out my devices; the recovery address has changed too, without my permission.",,,,,,,,,{}
vc_059,"I don't need a price quote, and I am not trying to buy Premium. I'm asking for the money from the subscription I already paid for to be returned to me.",,,,,,,,,{}
vc_060,"I'm not leaving because of the price. I'm leaving because my carefully organised library keeps getting scrambled, and I'll move it to a different service this weekend.",,,,,,,,,{}
vc_061,YouTube Music won't sync the downloads on my Pixel. I don't use Spotify at all; can this support account repair the YouTube library for me?,,,,,,,,,{}
vc_062,"The songs I purchased from Apple's iTunes Store are missing from my Apple Music library. This isn't a Spotify subscription, but your account came up when I searched for music help.",,,,,,,,,{}
vc_063,Desde ayer la música se detiene cuando bloqueo la pantalla del teléfono. ¿Podrían explicarme qué información necesitan para revisar el problema?,,,,,,,,,{}
vc_064,मेरे फ़ोन में डाउनलोड किए हुए गाने इंटरनेट बंद करते ही नहीं चलते। कृपया बताइए कि मुझे कौन सी जानकारी देनी चाहिए।,,,,,,,,,{}
vc_065,プレイリストの曲順を自分で変えたいのですが、操作する場所が見つかりません。スマートフォンのアプリを使っています。,,,,,,,,,{}
vc_066,"The screenshot I meant to attach shows everything. It hasn't uploaded here, but can you tell me what that message means anyway?",,,,,,,,,{}
vc_067,"Listen to the voice note and follow what I said there. I can't see the attachment in this thread now, and there's no description of the issue in writing.",,,,,,,,,{}
