id,system,thread_id,customer,evidence_customer,evidence_reply,relevant,supports_next_step,current_advice,reviewer_id,reviewer_type,rationale
c3_001,agent,t_750217,"hey im trying to remove a few of my old releases, they are on discontinued labels. But i no longer have contact with the people running it. How would i do this?",how do I change my artist picture? My music put on Spotify through a label I no longer work with and no artist picture was included,@user Hi there! You can change your image at any time with Spotify for Artists. There’s more info on this here: <url>,,,,,,
c3_001,agent,t_2707038,"hey im trying to remove a few of my old releases, they are on discontinued labels. But i no longer have contact with the people running it. How would i do this?",Hi If there are a load of old albums by UK artists that were only released in the UK which @user and @user have uploaded to you but have geoblocked in the UK what can you do? The labels are refusing to help and we’re deprived of amazing pop! Help please!,"@user Hi Rob! We’d love to have all music available, but we have some info about content here: <url>",,,,,,
c3_001,agent,t_823260,"hey im trying to remove a few of my old releases, they are on discontinued labels. But i no longer have contact with the people running it. How would i do this?",would be cool if Spotify included production details of music. Label. Producer. Engineer. These people deserve recognition 2,"@user Hey Rick, we can see how that’d be useful! You can vote for the official idea here: <url>",,,,,,
c3_001,agent,t_1261980,"hey im trying to remove a few of my old releases, they are on discontinued labels. But i no longer have contact with the people running it. How would i do this?",can you remind me how you can search by label?,"@user Hey Ellen, help's here! Just to check, are you trying to search for a record label on the app, or otherwise?",,,,,,
c3_001,agent,t_1705028,"hey im trying to remove a few of my old releases, they are on discontinued labels. But i no longer have contact with the people running it. How would i do this?",I've just got some Google Chromecast speakers. How do I remove my old Spotify Connect speaker? <url>,@user Hey Bobby! Have you tried the troubleshooting steps here: <url>? Keep us posted,,,,,,
c3_001,agent,t_1857344,"hey im trying to remove a few of my old releases, they are on discontinued labels. But i no longer have contact with the people running it. How would i do this?",Push notifications on please 😁💚 <url>,@user Hey! We're no longer sending emails for every release. Head to Browse > New Releases to find the latest releases updated every Friday,,,,,,
c3_001,quality,current:contact,"hey im trying to remove a few of my old releases, they are on discontinued labels. But i no longer have contact with the people running it. How would i do this?",Need official human support,Spotify's contact page offers messaging with customer support. The assistant cannot contact staff or access accounts.,,,,,,
c3_002,quality,current:contact,Hi. I can't link you my Facebook account. It says my Facebook is already linked to another Spotify account :(,Need official human support,Spotify's contact page offers messaging with customer support. The assistant cannot contact staff or access accounts.,,,,,,
c3_002,agent,t_1272291,Hi. I can't link you my Facebook account. It says my Facebook is already linked to another Spotify account :(,I trying to link with Facebook but saying Facebook account linked with another account,@user Hi James! The cavalry's here. Could you DM us your account's email address and Facebook profile link? We'll take a look backstage <url>,,,,,,
c3_002,agent,t_2530058,Hi. I can't link you my Facebook account. It says my Facebook is already linked to another Spotify account :(,hi I can't link my Spotify account to my ps4. Says I already have one linked but I don't.,"@user Hey there! The folks over @user will be able to help you out with this. For anything else, give us a shout",,,,,,
c3_002,agent,t_2211072,Hi. I can't link you my Facebook account. It says my Facebook is already linked to another Spotify account :(,I can't make a spotify account using my email due to the fact my current email is already linked to a account which is linked to a Facebook which i deleted a long time ago. So i can't sign in at all or get access to the account. What can i do?,@user Hi! Can you DM us your account's email address or Facebook URL? We'll take a look <url>,,,,,,
c3_002,agent,t_1962120,Hi. I can't link you my Facebook account. It says my Facebook is already linked to another Spotify account :(,my Spotify says it is linked with another psn and I can’t link it with mine. Is there a way to revoke that to link my account?,"@user 1: Hey Trevor! We're afraid that we're unable to unlink your Playstation account on our end, but the good folks over at @user...",,,,,,
c3_002,agent,t_1867720,Hi. I can't link you my Facebook account. It says my Facebook is already linked to another Spotify account :(,"Hallo spotify, i had already changed my email in facebook account, but email in spot. acc is not changed, How can I renew it?","@user Hi, help's arrived! Could you DM us a link to your Facebook profile and the email address on your Spotify account? We'll check it out 🔍 <url>",,,,,,
c3_002,agent,t_665363,Hi. I can't link you my Facebook account. It says my Facebook is already linked to another Spotify account :(,@user spotify won't work on my PS4 because it says ive linked another account to my PSN? how do i undo this? i need my 🎶,"@user 2: having issues, the folks over @user may be able to help you out with this 👍",,,,,,
c3_003,agent,t_654666,"I just got charged 10€ because I forgot to cancel my Premium, would it be possible to refund it and have it removed?","Hi , I want to change the date that money leaves my account for premium, is this possible or do I have to cancel and renew again??","@user Hey Racha! We're afraid it's not possible to change your billing date. You would need to cancel your subscription, then resubscribe on the day you'd like to be charged. We hope this helps",,,,,,
c3_003,agent,t_124849,"I just got charged 10€ because I forgot to cancel my Premium, would it be possible to refund it and have it removed?","Hi! I would like to cancel my premium account but just found out that I got charged today. If I cancel the premium service now, will I still be able to use it for a month since it’s already paid? Please advise thank you!","@user Hi Mitzki, help's here! If you cancel your subscription, your Premium features will remain for the rest of the Premium time. Hope this helps 🙂",,,,,,
c3_003,agent,t_1313514,"I just got charged 10€ because I forgot to cancel my Premium, would it be possible to refund it and have it removed?","just got charged for premium, i was meant to cancel before it charged me so i've just canceled right now can i get a refund??",@user Hey Mel! Can you DM us your account's email address? We'll see what we can do <url>,,,,,,
c3_003,agent,t_2704314,"I just got charged 10€ because I forgot to cancel my Premium, would it be possible to refund it and have it removed?","I have an account for my younger sister, she forgot her login details to cancel her trial. After 4 days and numerous attempts we finally got bk in! If I cancel the account now, will premium continue to work until the last day, payed for?","@user Hey there! Yes, it will. Her account will revert to Free on her renewal date. Let us know if you have other questions 🙂",,,,,,
c3_003,agent,t_535329,"I just got charged 10€ because I forgot to cancel my Premium, would it be possible to refund it and have it removed?",I might cancel my premium I can’t access my account I got a new one I need to delete it if it’s not accable not happy no one has helped me I forgot my id pass word,@user Let's not throw in the towel just yet. We'd love to help out. Can you send us a DM? <url>,,,,,,
c3_003,agent,t_1824117,"I just got charged 10€ because I forgot to cancel my Premium, would it be possible to refund it and have it removed?",My favourite song got taken off .,@user Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon,,,,,,
c3_003,quality,current:contact,"I just got charged 10€ because I forgot to cancel my Premium, would it be possible to refund it and have it removed?",Need official human support,Spotify's contact page offers messaging with customer support. The assistant cannot contact staff or access accounts.,,,,,,
c3_004,quality,current:contact,"can't use website player. keep getting ""ooops, something went wrong. Reload."" I've reloaded, restarted, signed out & in...",Need official human support,Spotify's contact page offers messaging with customer support. The assistant cannot contact staff or access accounts.,,,,,,
