id,system,thread_id,customer,evidence_customer,evidence_reply,relevant,supports_next_step,current_advice,reviewer_id,reviewer_type,rationale
b4_001,agent,t_664687,got the worst customer service,Fuck . you have the worst customer service,@user Hi Dan! That doesn't sound good. What's happening exactly? We'll lend a hand,,,,,,
b4_001,agent,t_847151,got the worst customer service,has the WORST customer service. Why in the world do you make it so difficult?,@user Hi Patrick. We're sorry you feel that way. Can you let us know what's happening exactly? We'll be happy to help,,,,,,
b4_001,agent,t_872983,got the worst customer service,What is your number to get help. Your customer service is the worst.,"@user Hey there! We don't have phone support at the moment, but we'd be happy to help via Twitter. What's happening exactly?",,,,,,
b4_001,agent,t_2596648,got the worst customer service,"has the worst customer service! They never get back to me, and I just want my bands songs to be right :(",@user Hey there! This doesn't sound good. Can you let us know more about what's happening? We'll check this out,,,,,,
b4_001,agent,t_293871,got the worst customer service,Just got some quality assistance from . Excellent customer service. Bravo. <url>,"@user Thanks for the sweet comment! If you ever need us again, you know where to find us 💚",,,,,,
b4_001,agent,t_1174188,got the worst customer service,The worst 'customer care' and service from !!!!!,@user We're sorry to hear you feel that way. We've just replied to your DM. Let's continue chatting there,,,,,,
b4_001,quality,current:contact,got the worst customer service,Need official human support,Spotify's contact page offers messaging with customer support. The assistant cannot contact staff or access accounts.,,,,,,
b4_001,balanced,current:contact,got the worst customer service,Need official human support,Spotify's contact page offers messaging with customer support. The assistant cannot contact staff or access accounts.,,,,,,
b4_002,quality,current:contact,Hi! Why is the feature of downloading a song not available but the one for download the whole album/playlist it is?,Need official human support,Spotify's contact page offers messaging with customer support. The assistant cannot contact staff or access accounts.,,,,,,
b4_002,balanced,current:contact,Hi! Why is the feature of downloading a song not available but the one for download the whole album/playlist it is?,Need official human support,Spotify's contact page offers messaging with customer support. The assistant cannot contact staff or access accounts.,,,,,,
b4_002,agent,t_1658865,Hi! Why is the feature of downloading a song not available but the one for download the whole album/playlist it is?,Why does only have one @user song like she didn’t have a whole album,"@user Hey! We’d love to have all of her stuff available, but we have some info about content here: <url>",,,,,,
b4_002,agent,t_83651,Hi! Why is the feature of downloading a song not available but the one for download the whole album/playlist it is?,Can you explain me why you delete the whole downloaded playlist with just one swipe? <url>,"@user Hey Paul, sorry to hear about this. We don't have any specific info to share about this, but you can vote for the idea here: <url>",,,,,,
b4_002,agent,t_160541,Hi! Why is the feature of downloading a song not available but the one for download the whole album/playlist it is?,why am i only getting 3 Songs out of a 17 song Album? <url>,"@user Hey Delcan! Fingers crossed we'll be able to have the whole album available soon, but there's info about Spotify content here: <url>",,,,,,
